12.463561942102492 151.21501270026138 ;0.13630623335801437 0.9870646539466554 0.9949288986188294 0.0 0.8710290798765281 
12.497977532189099 151.19967897770053 ;0.11394772255272774 0.9618950153152063 0.9985994206679415 0.0 0.9766823190944695 
12.518423540633474 150.87762317521435 ;0.10702593700204865 1.0 1.0 0.0 1.0 
12.626995641421194 150.73050047128305 ;0.12996514662905062 0.96499457417526 0.9671580971831963 0.0 0.8694814634419346 
12.649117835951165 149.52056780275115 ;0.16434197089328634 0.9691363612248535 0.9848468813460103 0.0 0.7108570095872317 
12.790599352808083 149.41077974412198 ;0.12375074316917456 0.9869770990592974 1.0 0.0 0.8504382087316009 
12.79470556790081 149.27950981660553 ;0.1235691955327144 0.9848591259478564 0.9646881229494707 0.0 0.8611596269025661 
12.825889574564831 148.9448561360819 ;0.10027346232903264 0.9541168030772231 1.0 0.0 1.0 
12.880110314589988 148.21354457865516 ;0.13241958703883733 0.9866875602965626 0.932605098119058 4.317034991496668E-6 0.816209519872041 
12.940429978387584 147.76164597861248 ;0.10271807495771093 1.0 0.9453832051565395 0.004549509546404761 0.9458651558354211 
12.964977691685554 146.94302420759206 ;0.14847007503214057 1.0 1.0 0.0016578681326953606 0.7095533937059623 
13.07417392742735 146.5668041389416 ;0.09438236566336969 1.0 1.0 0.0 0.9983991215073583 
13.124625585474314 146.29359200200741 ;0.12181619907080245 0.9552057442790362 0.9176742334041054 0.0 0.8791922602798206 
13.30692064545691 145.15001643838866 ;0.13895568464993496 0.9947487072724749 1.0 0.0 0.7120476384656504 
13.390124034566671 144.58154925776492 ;0.12153473659154515 1.0 0.9906924485344057 0.0 0.7743598343244804 
13.55833602521115 144.04457458684524 ;0.09651837687757955 0.9955287758403294 0.9816455425699112 0.0 0.9008391086472194 
13.765063961299555 143.8572313231393 ;0.097510541668129 1.0 1.0 0.0 0.8635263115003275 
13.79758116877687 142.76291053225637 ;0.12831650520872792 0.9756429074962647 0.9498311807762585 0.0 0.6887083679514447 
13.84075429315723 142.6589797171071 ;0.10006924113291604 0.9998782291834799 1.0 0.0 0.8394857814018843 
13.945395804750614 142.6314332491028 ;0.10398058883589065 0.9900293214814615 1.0 6.849401405088153E-4 0.7899358347795757 
13.963503954010113 142.28087863664038 ;0.11257414951719806 1.0 0.9060204691720929 0.0 0.7409857615563611 
13.965723820839878 142.2325472037714 ;0.09712325240077256 0.9176154697925802 0.825472646579814 0.0 0.8698245780342877 
13.975668079569962 141.94889460097198 ;0.09016715528545091 0.9779449181580441 0.999421448465734 3.3182842170730487E-4 0.8495112660771214 
13.993875061412579 141.5445455267238 ;0.1068259375179555 0.9206613968962077 0.961775497293574 7.355984694287426E-6 0.787370719026137 
14.116302773893164 141.51867031431436 ;0.13735509305888519 1.0 0.9183934879533394 0.0 0.5925490375938938 
14.117522403173181 141.0315823061325 ;0.06496191086838027 0.9965932485961713 0.9973038110997942 0.0 1.0 
14.226326439170174 140.33205254552936 ;0.12824597771566057 0.9968554004756882 0.9434762561215196 0.0 0.6249214084237309 
14.327944829375264 140.28311687964114 ;0.1492617846317642 1.0 0.9847407663287353 0.0 0.5280273880463244 
14.36733578819592 140.16534968415758 ;0.14643076017462103 0.9993621185511515 0.9761246072539013 0.0 0.538398892142297 
14.43089154319285 140.08910116781232 ;0.12249961830368876 0.9961095317463405 0.9538445350195444 0.0 0.6205558829624391 
14.454530440688591 139.80795798487716 ;0.09895670524083222 0.9972760874671573 1.0 0.0 0.7496424697516104 
14.474798692422151 139.03032222351976 ;0.11556124213030854 0.9837317265712161 0.937809743410484 3.447498488089115E-4 0.6636129246405915 
14.552254472974447 138.9717512149571 ;0.08289183309461738 0.9726931350374495 0.9389112794866414 0.0 0.8444557706852107 
14.560646560366228 138.56989018873782 ;0.06808170366541363 0.9955287758403294 0.9816455425699112 0.0 0.9212875739986897 
14.653459152728356 138.4408036643505 ;0.10505760332274652 0.992806579228804 1.0 0.0 0.668747767312269 
14.714174977829803 138.03484476630436 ;0.1066873007912511 0.9969076820034539 0.8068865618842803 0.0 0.6852973856086887 
14.717841001347717 137.6898083216318 ;0.12158887871016899 0.9853232100029657 0.9786800328705144 0.0023313110860797744 0.5909113068287595 
14.856899459602616 136.33342329536652 ;0.09179261218060172 0.9944701978651689 0.9996935190630344 0.0 0.7061121088830942 
14.98800375784529 136.25352123035356 ;0.10621830939172852 0.990971380250276 0.8379357821647593 0.0 0.6375949562953939 
15.026484957474699 135.5904841408747 ;0.1038539302656667 1.0 0.978744777111674 0.004500012010189191 0.6265176947573783 
15.142545879041036 135.2702207131993 ;0.09583472664035113 0.9749311178899872 0.9700100289119648 0.0 0.6655900163039987 
15.200695428193109 135.20281259348067 ;0.10019576746461753 0.9664924124825972 0.9999506166008287 0.0 0.6478982822124465 
15.268591581684378 134.19960082161302 ;0.07280495788743416 0.9900857658917659 0.9239207722869114 0.0 0.785574447699592 
15.326862377101534 134.10907993400903 ;0.10206931241984422 0.9764260340513957 1.0 1.7540140404904232E-4 0.6104349865277965 
15.337197351341878 134.06706947157883 ;0.10206931241984422 0.9764260340513957 1.0 4.3555916168781046E-4 0.6104349865277965 
15.456957154285156 133.43628439597674 ;0.10262580040190261 0.9917486157425829 0.9980334171163495 0.0 0.575993256194614 
15.561522718680274 132.32148111950818 ;0.10654027033271435 0.9953921856984249 1.0 2.449987436774372E-4 0.5414723195161211 
15.779793683958511 130.39991348247582 ;0.11304817250191769 0.96095049041905 0.9975206014493175 0.0 0.5052850130948644 
15.999637408227493 130.33523017966078 ;0.061439601142282 1.0 1.0 0.0016313517653471807 0.7329231026722532 
16.15302194127312 130.22114103630543 ;0.10752497180840984 0.9997197724312985 0.9881493349294986 0.0 0.47938294685524363 
16.154667497814174 129.53039035350784 ;0.09552419032928405 0.9811588134930854 0.9966080720954238 0.0035436156417695992 0.5083022581321683 
16.19199897483313 129.46384812573575 ;0.10767218785768794 0.9868503435474032 1.0 6.967177383690305E-4 0.46106660994933857 
16.297783383824488 129.38477073429763 ;0.09392329977328868 0.9759044913207657 0.998613952025233 0.002859732775109789 0.5196112684213128 
16.29914396162665 128.43110783976329 ;0.1050243326369234 1.0 1.0 6.357532078695577E-4 0.45266884672249874 
16.417178262908102 128.4197210740725 ;0.08033282367576788 0.9933441242306046 0.987380953152407 0.0 0.5743725065934508 
16.53975667515939 128.20469423452647 ;0.11245237358274798 0.9730876199115416 0.9982470341134888 7.030109102568958E-6 0.4020324030117948 
16.638096225955987 127.52324693273377 ;0.08050577161723406 0.9653427779737708 0.8826258936865335 7.622377472981177E-6 0.5665092928119508 
16.65961564635843 127.25346183399427 ;0.0997435029601035 1.0 0.9469266641610702 0.0 0.46937137964569 
16.67485713324858 127.14757629268172 ;0.09992882915453405 0.9999958265338855 1.0 0.0 0.45423047174742304 
16.682714776129206 126.75620209192996 ;0.10260198236211632 1.0 0.9544452372145568 6.382439165858052E-6 0.44470790871456967 
16.868636807752736 125.93742325907 ;0.06558557361002007 1.0 0.9766540111005043 0.0 0.6025350737230245 
16.989151726453645 125.24142650021948 ;0.07964831966379421 0.9983884775219664 1.0 1.4695600466554064E-5 0.5171552529002401 
17.02219664734438 124.40462611179107 ;0.08380923535175602 0.9943420541545969 0.9720671610965205 0.0 0.471856454761833 
17.191603228362332 123.92345730240031 ;0.07706212775073594 0.9873270848683946 0.9317177065110156 4.6064494988778943E-4 0.510909405019936 
